id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
980933,2016,Delhi,2016-04-23,League,SV Samson,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,runs,10.0,165.0,20.0,N,,S Ravi,C Shamshuddin
419130,2009/10,Mumbai,2010-03-28,League,Harbhajan Singh,Dr DY Patil Sports Academy,Deccan Chargers,Mumbai Indians,Deccan Chargers,field,runs,41.0,173.0,20.0,N,,S Das,K Hariharan
392213,2009,Centurion,2009-05-07,League,A Singh,SuperSport Park,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,wickets,7.0,106.0,20.0,N,,K Hariharan,DJ Harper
1254083,2021,Ahmedabad,2021-04-30,League,Harpreet Brar,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,34.0,180.0,20.0,N,,S Ravi,VK Sharma
1359510,2023,Bengaluru,2023-04-26,League,CV Varun,"M Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,21.0,201.0,20.0,N,,KN Ananthapadmanabhan,R Pandit
1422132,2024,Mumbai,2024-04-01,League,TA Boult,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,wickets,6.0,126.0,20.0,N,,MV Saidharshan Kumar,YC Barde
548347,2012,Chennai,2012-04-30,League,G Gambhir,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,wickets,5.0,140.0,20.0,N,,BF Bowden,C Shamshuddin
1082616,2017,Rajkot,2017-04-23,League,HM Amla,Saurashtra Cricket Association Stadium,Gujarat Lions,Kings XI Punjab,Gujarat Lions,field,runs,26.0,189.0,20.0,N,,AK Chaudhary,M Erasmus
1426306,2024,Bengaluru,2024-05-18,League,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,runs,27.0,219.0,20.0,N,,A Totre,KN Ananthapadmanabhan
1178395,2019,Bengaluru,2019-04-07,League,K Rabada,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,field,wickets,4.0,150.0,20.0,N,,S Ravi,YC Barde
1304097,2022,Mumbai,2022-05-06,League,TH David,"Brabourne Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Gujarat Titans,field,runs,5.0,178.0,20.0,N,,J Madanagopal,GR Sadashiv Iyer
1312199,2022,Ahmedabad,2022-05-27,Qualifier 2,JC Buttler,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,wickets,7.0,158.0,20.0,N,,CB Gaffaney,Nitin Menon
1359522,2023,Jaipur,2023-05-05,League,Rashid Khan,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Gujarat Titans,Rajasthan Royals,bat,wickets,9.0,119.0,20.0,N,,HAS Khalid,VK Sharma
1082613,2017,Kolkata,2017-04-21,League,SK Raina,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,wickets,4.0,188.0,20.0,N,,CB Gaffaney,Nitin Menon
981001,2016,Kanpur,2016-05-19,League,DR Smith,Green Park,Gujarat Lions,Kolkata Knight Riders,Gujarat Lions,field,wickets,6.0,125.0,20.0,N,,AK Chaudhary,CK Nandan
1136600,2018,Jaipur,2018-05-08,League,JC Buttler,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,bat,runs,15.0,159.0,20.0,N,,M Erasmus,Nitin Menon
980953,2016,Hyderabad,2016-04-30,League,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,15.0,195.0,20.0,N,,AK Chaudhary,HDPK Dharmasena
980905,2016,Chandigarh,2016-04-11,League,AJ Finch,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,wickets,5.0,162.0,20.0,N,,AK Chaudhary,VA Kulkarni
1216547,2020/21,,2020-09-28,League,AB de Villiers,Dubai International Cricket Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,tie,,202.0,20.0,Y,,Nitin Menon,PR Reiffel
1216504,2020/21,,2020-09-30,League,Shivam Mavi,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,runs,37.0,175.0,20.0,N,,KN Ananthapadmanabhan,C Shamshuddin
336028,2007/08,Mumbai,2008-05-21,League,SE Marsh,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,field,runs,1.0,190.0,20.0,N,,BF Bowden,GA Pratapkumar
501232,2011,Bangalore,2011-04-29,League,V Kohli,M Chinnaswamy Stadium,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,runs,26.0,182.0,20.0,N,,Aleem Dar,SS Hazare
419149,2009/10,Delhi,2010-04-11,League,PP Chawla,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,wickets,7.0,112.0,20.0,N,,BF Bowden,AM Saheba
392195,2009,Cape Town,2009-04-26,League,KC Sangakkara,Newlands,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,runs,27.0,140.0,20.0,N,,M Erasmus,K Hariharan
501223,2011,Delhi,2011-04-23,League,DA Warner,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,runs,29.0,232.0,20.0,N,,S Asnani,RE Koertzen
1178398,2019,Chennai,2019-04-09,League,DL Chahar,MA Chidambaram Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,wickets,7.0,109.0,20.0,N,,C Shamshuddin,RJ Tucker
548378,2012,Pune,2012-05-22,Qualifier 1,YK Pathan,Subrata Roy Sahara Stadium,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,18.0,163.0,20.0,N,,BR Doctrove,SJA Taufel
598028,2013,Dharamsala,2013-05-16,League,DA Miller,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,runs,7.0,172.0,20.0,N,,HDPK Dharmasena,S Ravi
392221,2009,Centurion,2009-05-12,League,LRPL Taylor,SuperSport Park,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,wickets,6.0,174.0,20.0,N,,M Erasmus,SS Hazare
392211,2009,Durban,2009-05-05,League,G Gambhir,Kingsmead,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,9.0,155.0,20.0,N,,GAV Baxter,IL Howell
598019,2013,Jaipur,2013-04-17,League,AM Rahane,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,runs,87.0,180.0,20.0,N,,Aleem Dar,C Shamshuddin
734037,2014,Kolkata,2014-05-24,League,YK Pathan,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,wickets,4.0,161.0,20.0,N,,RM Deshpande,BNJ Oxenford
1082595,2017,Bengaluru,2017-04-08,League,KM Jadhav,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,runs,15.0,158.0,20.0,N,,S Ravi,VK Sharma
336036,2007/08,Jaipur,2008-05-26,League,Sohail Tanvir,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,wickets,5.0,146.0,20.0,N,,BF Bowden,K Hariharan
501271,2011,Chennai,2011-05-28,Final,M Vijay,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,runs,58.0,206.0,20.0,N,,Asad Rauf,SJA Taufel
419147,2009/10,Nagpur,2010-04-10,League,RJ Harris,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,wickets,6.0,139.0,20.0,N,,HDPK Dharmasena,SJA Taufel
1216493,2020/21,,2020-09-20,League,MP Stoinis,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,tie,,158.0,20.0,Y,,AK Chaudhary,Nitin Menon
829779,2015,Chennai,2015-05-04,League,SK Raina,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,runs,24.0,149.0,20.0,N,,C Shamshuddin,K Srinath
548351,2012,Pune,2012-05-03,League,SL Malinga,Subrata Roy Sahara Stadium,Pune Warriors,Mumbai Indians,Mumbai Indians,bat,runs,1.0,121.0,20.0,N,,Asad Rauf,S Asnani
829803,2015,Chandigarh,2015-05-13,League,AR Patel,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,22.0,107.0,10.0,N,,JD Cloete,C Shamshuddin
